Summary,Issue key,Issue Type,Status,Priority,Resolution,Created,Resolved,Fix versions,Labels,Labels,Labels,Labels,Description,Environment,Custom field (Severity),Sprint,Sprint,Sprint,Custom field (Story Points)
Incorrect behaviour on updating different fields for referrer,OBN1-15904,Bug,Done,P3,Done,2/2/2024 12:05,2/8/2024 9:54,OBN 1.52,,,,,"*Scenario 1:*

*Preconditions:*

A referrer with “All industries permitted” exists in the db.

*Steps to reproduce:*

# Login as Operator Admin user.
# Navigate to “Referrers” > “Active Referrers”.
# Expand a referrer.
# Click on “Business Configuration” sub-tab.
# Click on “Edit” button.
# Click on “Industries” field .
# Deselect some of the industries.
# Click on “Save” button.
# Check the industries in the view mode.

*Expected result:* 

The industries are updated, when an industry is deselected the “All” value should be deselected automatically.

*Actual result:*

“All” value is not deselected automatically and no update is made.

!scenario1.gif|width=1826,height=802!



*Scenario 2:*

*Preconditions:*

A referrer that uses api exists in the db.

*Steps to reproduce:*

# Login as Operator Admin user.
# Navigate to “Referrers” > “Active Referrers”.
# Expand a referrer.
# Click on “Technical Configuration” sub-tab.
# Click on “Edit” button.
# Deselect the checkbox for “Enable external api access.”
# Click on “Save” button.

*Expected result:*

The field “Webhook url” is not displayed in the view mode.

*Actual result:*

The “Webhook url” field is present in the view mode.

!scenario2.mp4|width=1920,height=1032!

*Notes:* db attached, for tests use the referrer with id=9.

login: [reseller.admin@obn.com|mailto:reseller.admin@obn.com]
pass: [reseller.admin@obn.com|mailto:reseller.admin@obn.com]",,S3,109,,,1
Fields that should not be displayed for referrer and merchant user are displayed for Sales and refunds,OBN1-15882,Bug,Done,P4,Done,2/1/2024 15:05,4/10/2024 10:06,OBN 1.56,,,,,"*Preconditions:* 

* Sales exist in “payment_requests_to_pay” table
* Refunds exist in “paymeny_requests_to_refund” table

*Steps to reproduce:*

# Log in as:
- Merchant user:
{{settlmerch@merchuser.com}}
{{Flood15?Voice1}}
- Referrer user:
{{referrer@onetest.com}}
{{Flood15?Voice}}
# Navigate to “Activity”> “Sales”/”Refunds” 
# Click on a Sale/Refund
# Check the information on opened pop-up

*Expected result:*

Following information is not displayed for Referrer user:
- Referrer ID
- Referrer Name
- Operator Fee

Following information is not displayed for Merchant user:
- Referrer ID
- Referrer Name
- Merchant ID
- Merchant Name
- Operator Fee

*Actual result:*

Referrer/Merchant user:

!image-20240201-152243.png|width=1904,height=923!",,S4,113,,,2
500 error received when an application is automatically rejected,OBN1-15824,Bug,Done,P2,Done,1/31/2024 9:38,2/8/2024 8:00,OBN 1.52,,,,,"*Preconditions:*

* A referrer that uses API exists in the DB.
* The referrer has assigned a workflow which has rule condition “Reject” for the first step.

*Steps to reproduce:*

# Do an onboarding under the referrer mentioned in the preconditions.
# Check the response.

*Expected result:* 

Success 200 message received, applicant is created and only after that is rejected.

*Actual result:*

Error 500 is received. 

!MicrosoftTeams-image (42).png|width=750,height=655!

!MicrosoftTeams-image (43).png|width=1825,height=871!

*Note:* Db dump attached, credentials for referrer login are also attached.",,S2,109,,,2
'Activate' Outlet in OBN 'Deactivates' it in Cardstream and vice versa,OBN1-15806,Bug,Done,P2,Done,1/30/2024 9:49,2/16/2024 15:53,OBN 1.52,,,,,"*Steps to reproduce:*

# Log in as OBN Operator admin user
# Navigate on “Merchants“ > “Merchants“ page and expand a merchant “Hadjioglo“
# Navigate to “EcomInternal” and click Deactivate outlet (Merchant in Cardstream)
# Open Cardstream [https://sandbox3.cardstream.com/cms/?minimised=1|https://sandbox3.cardstream.com/cms/?minimised=1|smart-link] Database → Merchants
# Find and validate status of the Merchant name= “EcomInternal” 

*Expected result:*

status = inactive

*Actual result:*

status = active

!image-20240130-095801.png|width=881,height=430!

!image-20240130-095821.png|width=1813,height=761!

To also consider:

# If any error is received during synchronization (with CS or Hexobox), send a devops email
# If Hexobox sync successfully passes, update outlet/mpa status in OBN
# If Hexobox  sync fails, *don’t* update outlet/mpa status in OBN",,S3,109,,,2
"Error received on accessing ""Activity"">""Settlement"" page when there are In progress settlements",OBN1-15780,Bug,Done,P2,Done,1/26/2024 15:34,2/6/2024 6:56,OBN 1.51,,,,,"*Preconditions:*

* Following settlement exists in DB:

!image-20240126-153542.png|width=686,height=515!

*Steps to reproduce:*

#  Log in as Operator Admin
# Navigate to “Activity” > “Settlements” page

*Expected result:*

The list with settlements is displayed

*Actual result:*

500 status code is received. The list is loading

*Note:* Also the Settlement details pop-up is broken

*Fix:*

!image-20240126-153832.png|width=803,height=899!",,S2,109,,,1
AddressParser cannot handle country value sent by QED,OBN1-15768,Bug,Done,P2,,1/26/2024 5:50,,OBN 1.51,,,,,"QED response that is handled by OBN contains country value “United Kingdom”, that is currently not handled by AddressParser.php

!image-20240126-060254.png|width=774,height=616!



*Steps to reproduce*

# Configure workflow to include KYC steps
# Perform merchant onboarding that has business type incorporated



*Expected:*

# Response from QED containing addresses (including country) to be saved in DB 



*Actual:*

# AddressParser.php fails to parse “United Kingdom” from the address received
# Address in DB is saved without country:

!image-20240126-060020.png|width=856,height=296!



3. Point 2 leads to “_getCountryNameForTwoPlusTwo() must be of the type string, null given_” error 







Logs:
[2024-01-24T14:53:11.676456+00:00] app.ERROR: Argument 1 passed to App\Service\Workflow\CaseManager::getCountryNameForTwoPlusTwo() must be of the type string, null given, called in /var/www/api/src/Service/Workflow/CaseManager.php on line 1120 Trace:  #0 CaseManager.php:1120: App\Service\Workflow\CaseManager->getCountryNameForTwoPlusTwo(..) #1 CaseManager.php:1094: App\Service\Workflow\CaseManager->buildAddressData(..) #2 CaseManager.php:1050: App\Service\Workflow\CaseManager->buildRequest(..) #3 CaseManager.php:497: App\Service\Workflow\CaseManager->formatOfficersCorporateCase(..) #4 CaseManager.php:391: App\Service\Workflow\CaseManager->createCorporateCase(..) #5 CaseManager.php:255: App\Service\Workflow\CaseManager->createCase(..) #6 CaseManager.php:189: App\Service\Workflow\CaseManager->findOrCreateCasesForOfficers(..) #7 WorkflowChecker.php:85: App\Service\Workflow\CaseManager->findOrCreateCases(..) #8 WorkflowChecker.php:31: App\Service\Workflow\Task\Kompli\WorkflowChecker->findOrCreateCases(..) #9 StepRunnerAbstract.php:420: App\Service\Workflow\Task\Kompli\WorkflowChecker->execute(..) #10 StepRunnerAbstract.php:403: App\Service\Workflow\StepRunnerAbstract->executeStep(..) [] []
",,,108,,,1
"""Enable API"" checkbox state is saved from previously created referrer",OBN1-15723,Bug,Done,P2,Done,1/24/2024 14:00,2/5/2024 12:55,OBN 1.52,,,,,"After the creation of a referrer with “Enable API” as “on”, when you create a new one afterwards, the “Enable API” checkbox is ticked by default on the screen, and if you don't touch it and go until the end, in the request payload the flag is “false” for enable API. 



*It saves the state of the checkbox from the previous referrer creation process, but the payload value is not affected*



*Steps to reproduce:*

# Create a referrer and make sure to set “Enable API” checkbox as checked
# After creation, create once again a referrer
# Get to “Account configraution” screen

*Expected:*

# “Enable API” to be unchecked by default



*Actual:*

# “Enable API” checkbox displays the state from the previous referrer creation (in this case CHECKED)

!image-20240124-135616.png|width=1050,height=738!



2. After finishing the referrer creation process, in the payload, “useApi” is FALSE, even in UI it was shown as “checked” 

!image-20240124-135629.png|width=773,height=702!



 ",stage,S2,109,,,1
[PROD] Rejecting an application created by referrer returns an unknown error,OBN1-15629,Bug,Done,P2,Done,1/22/2024 9:37,2/15/2024 14:54,OBN 1.52,,,,,"*Preconditions:*

An application with  value = “1” in “payment_merchant_applications.is_signed_up_by_referrer” exists in the db.
For application exists a soft deleted user in “user_organization_members”.

*Steps to reproduce:*

# Login as Operator Admin user.
# Go to “Merchants”>”Open Applications” page.
# Expand the application from the preconditions.
# Click on “Application Status” tab.
# Click on “Reject Application” button.
# Select any option for the drop-down from “Confirmations” pop-up.

*Expected result:*

The application is successfully rejected.

*Actual result:*

!MicrosoftTeams-image (38).png|width=1278,height=614!

Notes: Db attached please login with credentials: Login: [reseller.admin@obn.com|mailto:reseller.admin@obn.com]; password: [reseller.admin@obn.com|mailto:reseller.admin@obn.com], and do the mentioned steps for application with id=325.",,S3,109,,,2
[Moneris] transferred_at value isn't set after successful match settlement,OBN1-15575,Bug,Done,P2,Done,1/15/2024 15:22,2/19/2024 8:34,OBN 1.52,Moneris,Processing_Settlement,,,"*Precondition:* 

# settlement for operator/referrer/merchant (moneris merchant) exists
# moneris report is imported successfully

*Steps to reproduce:*

# run p{{hp bin/console moneris:match:transactions}} to match the transactions
# Check paymets_paymets table transferred_at value

*Expected result:*

transferred_at value is populated

*Actual result:*

transferred_at value is NULL",,S3,109,,,1
Commercial offer is generated for both merchant's outlets,OBN1-15571,Bug,Done,P2,,1/15/2024 13:49,,OBN 1.51,,,,,"*Precondition:* 

# The merchant indicates two outlets during onboarding
# “Present commercial offer to applicant for signing“ step is executed

*Steps to reproduce:*

# Log in as admin user
# Navigate on “Merchants“ → “Open applications“ and expand the application
# Click on “Commercial offer“ tab
# Click on “edit“ button

*Expected result:*

Displays only one commercial offer for both outlets

*Actual result:*

For both outlets commercial offer is displayed

!image-20240115-135421.png|width=1914,height=874!

For test use attached DB - open application with ID =992 (dump from stage OBN operator)",,S2,108,,,1
Country column from the core_addresses table contain invalid data in fixtures,OBN1-15507,Bug,Done,P2,,1/11/2024 14:46,,OBN 1.51,,,,,"*Steps to reproduce:*

# Run the fixtures for Moneris or OBN.
# Check the “core_addresses.column” column.

*Expected result:*

The country column should contain proper data.

*Actual result:* 

The country column contains invalid data (ex. CA-ENG)",,S3,108,,,1
Merchant and Referrer IDs are mismatched in log message,OBN1-15483,Bug,Done,P3,Done,1/9/2024 13:37,8/6/2024 14:38,OBN 1.65,,,,,"Error log message has the Merchant ID displayed as Referrer ID, and Referrer ID displayed as Merchant ID.

*Steps to reproduce:*

# Onboard a merchant for a referrer that has no CS reseller ID set.
# Make sure onboarding gets to the step “Create Merchant records in gateway” and it fails
# Open the “main-dev” log



*Expected:*

# Error displayed:  “Cannot sync customer for merchant id=""*8*"", because referrer id=""*1*"" doesn't have CS reseller id.""

!image-20240109-133228.png|width=830,height=370!



*Actual:*

# Error displayed:  “Cannot sync customer for merchant id=""{color:#ff5630}*1*{color}"", because referrer id=""{color:#bf2600}*8*{color}"" doesn't have CS reseller id.”



*Possible root cause:* string format with mismatched values:

!image-20240109-133153.png|width=974,height=328!",,S4,122,,,1
Error during match Moneris settlement ,OBN1-15478,Bug,Done,P1 ,,1/9/2024 8:19,,OBN 1.49,,,,,"*Precondition:*

# Settlement for moneris merchant exists

*Steps to reproduce:*

# Import moneris reports (Sales and settlement)
# run {{php bin/console moneris:match:transactions}} command

*Expected result:*

Settlement transaction successfully matched 

*Actual result:*

Error 

!image-20240109-082532.png|width=1423,height=584!",,S3,107,,,1
"No ""Verify controllers"" step in audit workflow [OBN operator]",OBN1-15409,Bug,Done,P2,,1/3/2024 10:55,,OBN 1.51,,,,,"*Steps to reproduce:*

# Log in as OBN Operator admin user
# Navigate on “Merchants“ > “Merchants“ page and expand a merchant
# Click on “Review“ tab
# Enable toggle button for “Audit“
# Click on “Compliance checks“ tab

*Expected result:*

Steps that are displayed:

# Verify controllers
# Verify Entity
# Verify Reputation
# Verify Identity

*Actual result:*

Steps that are displayed:

# Verify Entity
# Verify Reputation
# Verify Identity

This step should be added only in the *OBN related operator* fixtures only",,S2,108,,,1
The title of the email that user receive after sign-up is not the correct one,OBN1-15253,Bug,Done,P3,,12/27/2023 11:24,,OBN 1.50,,,,,"*Steps to reproduce:*

# Do a sign-up in the portal.
# Check the email received.

*Expected result:*

The subject of the email is: Account Notification – Action Required. ([https://cardstream.atlassian.net/browse/OBN1-14576|https://cardstream.atlassian.net/browse/OBN1-14576|smart-link] )

*Actual result:* 

The subject of the email is: 

!MicrosoftTeams-image (34).png|width=1497,height=611!


",,S3,107,,,1
"On updating application during ""Merchant screening"" phase - override fees section is added",OBN1-15241,Bug,Done,P1 ,,12/27/2023 10:27,,OBN 1.50,,,,,"*Precondition:* wf with “Merchant screening“ phase exists and assigned to a referrer that uses API

*Steps to reproduce:*

# Get token for referrer that uses API 
# In body for submitting merchant details - do not indicate {{""transactionFees""}} object
# Submit details
# Check WF was stopped on “Merchant screening“ phase
# Check form data for application in {{""payment_merchant_applications.form_data""}} column ( the {{""transactionFees""}} field doesn't exists)
# Log in as admin user
# Navigate on “Merchants“ → “Open applications“ page and expand application
# Click “application data“ link in “Application dashboard“
# In “Application data“ pop up click “edit“ button
# Do not do changes and click “Save“ button
# _a) 1 case:_ Check form data for application in {{""payment_merchant_applications.form_data""}} column
# Continue wf - so that the offer is generated
# _b) 2 case: c_heck the values that were generated for the merchant fees

*Expected result:*

# _a) 1 case:_ the {{""transactionFees""}} field +doesn't+ exists in form_data
# _b) 2 case:_ commercial offer and fees are generated based on the default Referrer’s billing plan

*Actual result:*

# _a) 1 case:_ the {{""transactionFees""}} field exists in form_data. new record is created for application in {{payment_referrer_override_fees}} table
# billing plan is created all times with “NET_REVENUE“ type 

!image-20231227-134621.png|width=1487,height=812!



3_. b) 2 case:_ commercial offer and fees are generated based on the overriden merchant fees from {{payment_referrer_override_fees}} table",,,107,,,3
Updating the merchant billing plan returns an error,OBN1-15192,Bug,Done,P1 ,,12/27/2023 9:30,,OBN 1.50,,,,,,"*Steps to reproduce:*

# Login as an Operator admin.
# Go to “Merchants”>”Merchants” page.
# Expand a merchant.
# Click on “Billing plan” tab.
# On “Sale/Refund” sub-tab click on “Edit” button.
# Update some values and click on “Save” button.

*Expected result:*

The changes are successfully saved.

*Actual result:*

500 error.

!Screenshot_12.png|width=797,height=245!",S2,107,,,2
"""REFUND"" splitting for Bambora RTR is not set as ""is_read"" when all splittings are successfully paid ",OBN1-15191,Bug,Done,P3,,12/27/2023 9:09,,OBN 1.49,,,,,"!image-20231227-091028.png|width=1074,height=522!",,S3,106,,,1
Ownership values are deleted on officer update,OBN1-15190,Bug,Done,P2,,12/27/2023 8:50,,OBN 1.50,,,,,"*Precondition:* use dump for test

*Steps to reproduce:*

# Log in as admin user
# Navigate to “Merchants“ → “Open applications“ page and expand application (ID 1059)
# Click on “Application status“ tab and expand “Know your client - pre-activation“ phase
# Click “Upload documents“ button
# In “Request for information” pop up expand information for Vlad Nanu and add documents, click “Save“ button
# Expand next one officer - Andrew John and add documents, click “Save“ button

*Expected result:*

officer successful updated and saved.

*Actual result:*

error

!image-20231227-085753.png|width=1906,height=506!

this is due to the fact that when the first officer was updated (Vlad Nanu), the values for the {{""ownership""}} and {{""is_beneficial_owner""}} columns in {{""payment_merchant_officers""}} were set to NULL",,S2,107,,,2
[PROD] Application user is not able to log in when onboarding is done by referrer,OBN1-15004,Bug,Done,P1 ,,12/13/2023 10:51,,OBN 1.47,,,,,"*Preconditions:*

# Application with status “IN_REVIEW” exists in “payment_merchant_application” table _[ID = 993]_
# Application is signed up by referrer → has “1” in “payment_merchant_application.is_signed_up_by_referrer” column
# A user profile exists for Application’s organisation in “user_organization_members” table _[ID = 688]_

*Steps to reproduce:*

# Open OBN Log in form
# User user’s credentials to log in 
[_test2fa@2fauser.com_|mailto:test2fa@2fauser.com]
_Flood15?Voice_
# Select “Application” user profile

*Expected result:*

User is successfully logged in

*Actual result:*

User is redirected to Log in form



{color:#bf2600}*_Note: Disable 2FA in core settings to be easier to reproduce using attached DB dump_*{color}

 ",,S1,105,,,1
"Error 403 displayed for a merchant user on ""My Outlets"" page when an outlet creation workflow is not finished",OBN1-14940,Bug,Done,P3,,12/6/2023 7:30,,OBN 1.47,,,,,"*Preconditions:* Merchant has an outlet for which the workflow isn’t finished.

*Steps to reproduce:*

# Login as a merchant user.
# Navigate to “Organisation”>”My Outlets” page.
# Expand the outlet from preconditions.

*Expected result:*

The workflow is not displayed for merchant user.

*Actual result:*

The 403 error received, the section for workflow is continuously loading.

!MicrosoftTeams-image (31).png|width=1889,height=984!

!MicrosoftTeams-image (32).png|width=1525,height=766!

*Note:* DB attached, login with the following credentials:

login: [test@Machete.com|mailto:test@Machete.com]
password: Amdaris12!",,S3,104,,,1
[API] 500 error on attempt to create a workflow with too long name,OBN1-14939,Bug,Done,P5,Done,12/6/2023 7:16,9/3/2024 15:31,OBN 1.67,,,,,"*Steps to reproduce:*

# In body for create new WF for {{""name""}} filed use a value greater than 100 characters
# Send a POST request to{{ /workflow}} endpoint

*Expected result:*

Validation error message returns in response body

{{This value is too long. It should have 100 characters or less.}}

*Actual result:*

500 error returns

!image-20231206-072138.png|width=1395,height=864!

!image-20231206-072214.png|width=1404,height=683!

*Note:* for test you can use attached DB and body",,S4,124,,,1
Incorrect calculation of Adjustments total amount from a Moneris report with negative and positive adjustments ,OBN1-14911,Bug,Done,P2,,12/5/2023 9:38,,OBN 1.47,Moneris,Payments,Reports,,"*Precondition:* Use attached database

*Steps to reproduce:*

# Import Order Details Moneris report with 1 negative and 1 positive adjustment (attached)
# Check information stored in “summary_data” column in “payment_acquirer_payment_report_files” table

*Expected result:*

Two Adjustment transaction types are stored in “summary_data” column:

# 52.29 with type = credit
# (-16.00) with type = debit

*Actual result:*

!image-20231205-095618.png|width=1321,height=821!",,S3,105,,,1
"[Prod] Error on display ""application data"" of an in progress application",OBN1-14860,Bug,Done,P2,,11/29/2023 12:53,,OBN 1.48,,,,,"*Preconditions:*

# An application with only “About the Business“ completed

*Steps:*

# Log in as operator with MERCHANTS_FULL permission
# Navigate to Merchants > Open applications
# Expand the application
# Click on “Application data“

*Expected result:*

Existing application data should be displayed

*Actual result:*

A 500 error is returned

!image-20231129-130229.png|width=1145,height=635!

{panel:bgColor=#deebff}
Production application: id = 1068
{panel}",,,105,,,1
"Error during ""Activate merchant"" step execution",OBN1-14840,Bug,Done,P2,,11/28/2023 13:19,,OBN 1.48,,,,,"*Preconditions:* WF with “Activate merchant“ step exists

*Steps to reproduce:*

# Initiate onboarding
# Trigger the workflow
# Check all steps up to “Activate merchant“ steps are executed successfully 
# On “Activate merchant“ step, a “401“ error is received from the gateway (Cardstream)

*Expected result:*

Step result is created for “Activate merchant“ step. Step has error status and “reattempt“ button is available

*Actual result:*

Step result *is not* created for “Activate merchant“ step.  Step remains in “To do“ status

!image-20231128-132621.png|width=1397,height=457!",,S2,105,,,5
[Prod] Error on settlement processing,OBN1-14806,Bug,Done,P1 ,,11/28/2023 7:16,,OBN 1.46,HotFix,,,,"*Preconditions:*

# Use production env
# Operator settlement fee of this Merchant is 0

*Steps:*

# Trigger the Settlement for a Merchant using Starling payment processor

*Expected result:*

Settlement is successfully performed

*Actual result:*

An error is received

!image-20231128-071803.png|width=1152,height=501!

{panel:bgColor=#deebff}
Dev note: [~accountid:5dca6baa99e7ea0c60b08a9e] , after the release of the fix, please run the retry command: {{maintenance:settlement:merchant 5250}}
{panel}",,S1,104,,,2
Error when Referrer tries to access its billing plan,OBN1-14779,Bug,Done,P2,,11/24/2023 13:57,,OBN 1.46,Billing_plan,Referrers,,,"*Preconditions:* 

# An active referrer with admin rights



*Steps to reproduce:*

# As a referrer go to Organization>My Billing Plan



*Expected result:* the information about the billing plan is displayed



*Actual result:* the information about the billing plan is not displayed

!image-20231124-135616.png|width=618,height=486!",,,104,,,1
Error 400 when updating merchant application data with optional bank details null,OBN1-14724,Bug,Done,P3,,11/22/2023 17:42,,OBN 1.47,,,,,"*Steps to reproduce:*

# Go to “Merchant” > “Open Applications”.
# Go to the merchant with bankAccountDetails = null
# Click on “Application data”.
# Update some information on other pages than “Bank account details”. (do not even click on this section)
# Click on “Save” button.

*Expected result:*

The changes are saved.

*Actual result:*

The changes are not saved, validation message is thrown.|

!image-20231122-174742.png|width=438,height=88!

*Note:* DB attached, update the application data for the application with id = 296.",,,104,,,1
Error 500 thrown when address parser is unavailable ,OBN1-14723,Bug,Done,P2,,11/22/2023 17:22,,OBN 1.49,,,,,"*Preconditions:* User is on {{epic-OBN1-13909-multi-country-fields-address-form}}

*Steps to reproduce:*

# Update application data for an application during “Merchant Screening” phase.
# Click on “Save”.

*Expected result:*

The data is saved properly. 

*Actual result:*

500 error message.

!image-20231122-172514.png|width=1254,height=586!

*Note:* Try to update application data for application with id = 295.",,S3,104,,,1
[Prod] Wrong invoice payable amount ,OBN1-14698,Bug,Done,P1 ,,11/21/2023 15:20,,OBN 1.46,,,,,"*Preconditions:*

# Use production env

*Steps:*

# Re-run generate invoice settlement which has:
## total_charge = 0;
## has invoice parts with fees deducted;

*Expected result:*

Amount payable is successfully calculated

*Actual result:*

Amount payable is not correctly calculated (because payment_merchant_invoices.total_charge remained 0)

!image-20231121-155055.png|width=837,height=561!",,,104,,,3
"Incorrect information is stored for ""Refund"" transaction type on importing Moneris Settlement report",OBN1-14649,Bug,Done,P1 ,,11/20/2023 9:37,,OBN 1.47,Moneris,Payments,,,"*Steps to reproduce:*

# Use DB dump attached
# Run “php bin/console moneris:import-payments” using attached Moneris report
# Check the “summary_data” column value from “{{payment_acquirer_payment_report_files}}“ table for created record

*Expected result:*

“type” : “Refund”

“transactionType” : “debit”

*Actual result:*

!image-20231120-093718.png|width=1883,height=938!",,S3,104,,,1
Errors during running the migrations,OBN1-14637,Bug,Done,P1 ,,11/17/2023 9:35,,OBN 1.47,,,,,"*Steps to reproduce:*

# Rebuild containers
# Create new DB
# Run migrations

*Expected result:*

All migrations are executed successfully

*Actual result:*

Errors during running the migrations



*Note:* *_migrations that need to be fixed_*

Version20211228073524.php

Version20220110073524.php

Version20230608125739.php

Version20230831131540.php",,S4,104,,,1
[Sandbox]Error on generation of the commercial offer for application that have BP for 2 processors but overridden fees only for one,OBN1-14571,Bug,Done,P1 ,,11/9/2023 13:44,,OBN 1.46,,,,,"*Preconditions:*

# Referrer that uses API exists in “payment_referrers” table
# User is authenticated using referrer’s API credentials
# “IN_PROGRESS” application exists in “payment_merchant_applications” table

*Steps to reproduce:*

# Sent POST request to “/ext-ref/merchant-onboarding/{{ExtApplicUuid}}“ endpoint with overriden fees only for one BP:
!image-20231109-135113.png|width=608,height=281!

# Workflow started for the application

*Expected result:*

Offer is successfully generated for the application’s merchant

*Actual result:*

An error occurred during generation of the offer for the application’s merchant



*Note:*

Caused by missing of the merchant’s chargeback fees in “{{payment_merchant_chargeback_fees}}“ for BP for which override fees were not sent",,S2,103,,,2
No translations for the 'sendOnAuthError' mail sender,OBN1-14506,Bug,Done,P2,,11/6/2023 9:09,,OBN 1.47,,,,,"*Precondition:*

translations for Xero MailSernder exists

*Steps to reproduce:*

trigger the {{sendOnAuthError}} mail (auth fails when refresh token is updated)

*Expected result:*

email notification is with existing transaltion

*Actual result:*

the email notification has not been translated",,S3,104,,,1
"Error on update application during onboarding from ""Application dashboard""",OBN1-14471,Bug,Done,P2,,11/3/2023 11:57,,OBN 1.50,,,,,"*Precondition:*

# The applicator/referrer is doing onboarding and has not filled out “About its payments“ step
# Merchant is not created for application

Steps to reproduce:

# Log in as Operator user
# Navigate to “Merchants“ → “Open applications“ and expand application
# Click “edit“ button in “Application dashboard“ 
# Change some data and click “Save“ button

*Expected result:*

Application is updated successfully

*Actual result:*

Error:

!image-20231103-120244.png|width=1570,height=714!

Note: for test use the last application in “open applications“ list from attached DB

!image-20231103-120440.png|width=1874,height=710!",,S3,107,,,1
[Prod] QR code is not displayed when user re-follows the reset password link,OBN1-14430,Bug,Done,P1 ,,11/2/2023 6:19,,OBN 1.46,TimeSensitive,,,,"*Precondition:* 

# Operator creates an user
# Operator resets the user
# 2FA is enabled on the portal

*Steps to reproduce:*

# As user follow the “reset-password“ link 
# Set the password and click on the “change password“ button
# On the “Reset password“ page do not scan the QA code and close the page
# Go to the email and re-follow the “reset-password“ link one more time
# Set the password and click on the “change password“ button
# Check the “Reset password“ page

*Expected result:*

QR code displays

*Actual result:*

QR code doesn’t displays

!image-20231102-063147.png|width=1727,height=934!

see the attach file",,S2,103,105,,3
[Prod] Wrong invoice generated on production,OBN1-14408,Bug,Done,P1 ,,11/1/2023 9:49,,OBN 1.45,TimeSensitive,,,,"*Preconditions:*

# Use prod environment
# Merchant has processed RTPs and fees deducted during last month (Merchants with ids=2 and 924)

*Steps:*

# Run {{bn:invoices:generate-for-merchants}} command on first day of current month

*Expected result:*

The invoice should be generated including the fees

*Actual result:*

The merchant invoice is generated containing the settlement fee.

The invoice parts are not generated.",,S1,102,,,3
"[UI] On select in filter ""Today"" date on the Activity page, the field shifts",OBN1-14360,Bug,Done,P4,,10/31/2023 12:17,,OBN 1.48,,,,,"# Log in as user with “ACTIVITY“ permission
# Navigate on the “Activity“ → “Sale“/”Refund”/”Transfers”/”Settlements” tab
# Select “Today“ filter in the “Date“ field - date filed shifts to right
# Select “Custom“ value for “Date field“ 

*Expected result:*

Date field remains in place

*Actual result:*

See attached file",,,105,,,1
Error 404 received when operator doesn't have a Zapp account,OBN1-14330,Bug,Done,P2,,10/27/2023 8:09,,OBN 1.46,Bank_Details,Moneris,,,"*Preconditions:* DB with Moneris fixtures

*Steps to reproduce:*

# Login as operator admin.
# Go to “Organisation” > “Bank account Details” page.
# Notice the bank account details continuously loading.

*Expected result:*

Bank account details are loaded for the existing bank accounts.

*Actual result:*

The request can’t find Zapp account details (which are deleted in Moneris fixtures) and returns 404 error.",,S2,103,,,2
"[Bambora] The ""ACQUIRER_VARIABLE_MARGIN"" & ""ACQUIRER_FIXED_MARGIN"" fees should be negative or 0 in generated Bambora report",OBN1-14329,Bug,Done,P3,,10/27/2023 7:49,,OBN 1.49,,,,,"*Steps to reproduce:*

# Run {{php bin/console bambora:reports:create-reports --count-tx=1 --count-cb=0 --sale-amount-min=1000 --sale-amount-max=1000 --refunds-percent=0 --refunds-amount-percent=50 --fixed-fee-only --report-datetime='2023-10-01 15:00:00' --currency='GBP'}} command
# Bambora report is generated

*Expected result:*

""ACQUIRER_VARIABLE_MARGIN"" & ""ACQUIRER_FIXED_MARGIN"" fees have negative value or 0

*Actual Result:*

""ACQUIRER_VARIABLE_MARGIN"" & ""ACQUIRER_FIXED_MARGIN"" fees have positive values",,,106,,,1
